og_00000000	entrez_gi:55585	official_symbol:UBE2Q1
og_00000001	entrez_gi:9604	official_symbol:RNF14
og_00000002	entrez_gi:92912	official_symbol:UBE2Q2
og_00000003	entrez_gi:9921	official_symbol:RNF10
og_00000004	entrez_gi:26994	official_symbol:RNF11
og_00000005	entrez_gi:11342	official_symbol:RNF13
og_00000006	entrez_gi:2970	official_symbol:GTF2IP1
og_00000007	entrez_gi:28954	official_symbol:REM1
og_00000008	entrez_gi:161253	official_symbol:REM2
og_00000009	entrez_gi:84326	official_symbol:C16orf13
og_00000010	entrez_gi:146325	official_symbol:C16orf11
og_00000011	entrez_gi:56163	official_symbol:RNF17
og_00000012	entrez_gi:653784	official_symbol:MZT2A
og_00000013	entrez_gi:80097	official_symbol:MZT2B
og_00000014	entrez_gi:546	official_symbol:ATRX
og_00000015	entrez_gi:5373	official_symbol:PMM2
og_00000016	entrez_gi:5372	official_symbol:PMM1
og_00000017	entrez_gi:445	official_symbol:ASS1
og_00000018	entrez_gi:4686	official_symbol:NCBP1
og_00000019	entrez_gi:163051	official_symbol:ZNF709
og_00000020	entrez_gi:7562	official_symbol:ZNF708
og_00000021	entrez_gi:345462	official_symbol:ZNF879
og_00000022	entrez_gi:729747	official_symbol:ZNF878
og_00000023	entrez_gi:127003	official_symbol:C1orf194
og_00000024	entrez_gi:2019	official_symbol:EN1
og_00000025	entrez_gi:80139	official_symbol:ZNF703
og_00000026	entrez_gi:6167	official_symbol:RPL37
og_00000027	entrez_gi:55762	official_symbol:ZNF701
og_00000028	entrez_gi:90592	official_symbol:ZNF700
og_00000029	entrez_gi:286075	official_symbol:ZNF707
og_00000030	entrez_gi:814	official_symbol:CAMK4
og_00000031	entrez_gi:619279	official_symbol:ZNF704
og_00000032	entrez_gi:84872	official_symbol:ZC3H10
og_00000033	entrez_gi:55905	official_symbol:RNF114
og_00000034	entrez_gi:27246	official_symbol:RNF115
og_00000035	entrez_gi:7732	official_symbol:RNF112
og_00000036	entrez_gi:79882	official_symbol:ZC3H14
og_00000037	entrez_gi:6693	official_symbol:SPN
og_00000038	entrez_gi:54778	official_symbol:RNF111
og_00000039	entrez_gi:83955	official_symbol:NACAP1
og_00000040	entrez_gi:124245	official_symbol:ZC3H18
og_00000041	entrez_gi:2902	official_symbol:GRIN1
og_00000042	entrez_gi:286557	official_symbol:RBMY1A3P
og_00000043	entrez_gi:221833	official_symbol:SP8
og_00000044	entrez_gi:1660	official_symbol:DHX9
og_00000045	entrez_gi:6949	official_symbol:TCOF1
og_00000046	entrez_gi:84081	official_symbol:NSRP1
og_00000047	entrez_gi:4928	official_symbol:NUP98
og_00000048	entrez_gi:7508	official_symbol:XPC
og_00000049	entrez_gi:6667	official_symbol:SP1
og_00000050	entrez_gi:7507	official_symbol:XPA
og_00000051	entrez_gi:6670	official_symbol:SP3
og_00000052	entrez_gi:6671	official_symbol:SP4
og_00000053	entrez_gi:389058	official_symbol:SP5
og_00000054	entrez_gi:80320	official_symbol:SP6
og_00000055	entrez_gi:121340	official_symbol:SP7
og_00000056	entrez_gi:90835	official_symbol:C16orf93
og_00000057	entrez_gi:121665	official_symbol:SPPL3
og_00000058	entrez_gi:27333	official_symbol:GOLIM4
og_00000059	entrez_gi:80207	official_symbol:OPA3
og_00000060	entrez_gi:4976	official_symbol:OPA1
og_00000061	entrez_gi:57799	official_symbol:RAB40C
og_00000062	entrez_gi:10966	official_symbol:RAB40B
og_00000063	entrez_gi:142684	official_symbol:RAB40A
og_00000064	entrez_gi:221303	official_symbol:FAM162B
og_00000065	entrez_gi:10951	official_symbol:CBX1
og_00000066	entrez_gi:29765	official_symbol:TMOD4
og_00000067	entrez_gi:1294	official_symbol:COL7A1
og_00000068	entrez_gi:11330	official_symbol:CTRC
og_00000069	entrez_gi:100144748	official_symbol:KLLN
og_00000070	entrez_gi:440585	official_symbol:FAM183A
og_00000071	entrez_gi:341277	official_symbol:OVCH2
og_00000072	entrez_gi:341350	official_symbol:OVCH1
og_00000073	entrez_gi:340286	official_symbol:FAM183B
og_00000074	entrez_gi:5660	official_symbol:PSAP
og_00000075	entrez_gi:84888	official_symbol:SPPL2A
og_00000076	entrez_gi:283579	official_symbol:C14orf178
og_00000077	entrez_gi:162540	official_symbol:SPPL2C
og_00000078	entrez_gi:56928	official_symbol:SPPL2B
og_00000079	entrez_gi:53904	official_symbol:MYO3A
og_00000080	entrez_gi:3680	official_symbol:ITGA9
og_00000081	entrez_gi:7357	official_symbol:UGCG
og_00000082	entrez_gi:140469	official_symbol:MYO3B
og_00000083	entrez_gi:487	official_symbol:ATP2A1
og_00000084	entrez_gi:488	official_symbol:ATP2A2
og_00000085	entrez_gi:489	official_symbol:ATP2A3
og_00000086	entrez_gi:3672	official_symbol:ITGA1
og_00000087	entrez_gi:3673	official_symbol:ITGA2
og_00000088	entrez_gi:3675	official_symbol:ITGA3
og_00000089	entrez_gi:3676	official_symbol:ITGA4
og_00000090	entrez_gi:6014	official_symbol:RIT2
