	ERR030886	ERR030873	ERR030877	ERR030878	ERR030879	ERR030872	ERR030880	ERR030881	ERR030882	ERR030883	ERR030884	ERR030885	ERR030887	ERR030875	ERR030876	ERR030874
A1BG	0.36494	0.67942	1.27316	1.79085	1.92324	1.21461	1.1916	2.10368	0.75191	0.45499	1.36033	0.78699	305.67455	1.77709	0.24473	0.60571
A1BG-AS1	0.24524	0.08366	0.1421	0.88579	0.60165	0.51507	0.41654	1.21896	0.39509	0.26646	0.28168	0.35665	5.86813	0.64045	0.0	0.42349
A1CF	0.00116	0.01687	0.0	0.0	0.0	0.01506	0.00469	0.01512	0.02744	0.01254	0.77075	4.02266	28.21358	0.0	0.02169	0.0
A2LD1	0.51206	2.1732	0.89309	0.6482	0.11162	1.56557	0.70489	1.55498	0.73589	1.4561	0.55223	2.81764	2.12336	2.47684	0.40732	0.707
A2M	348.5347	190.59602	360.92322	370.6589	1368.2951	89.691	447.26553	357.09068	40.9528	242.75266	464.56181	237.66922	1000.28951	0.84564	69.32994	147.10473
A2ML1	0.01229	0.50002	0.10206	0.07705	0.02495	0.06536	0.20481	0.01074	1.05301	0.06606	0.0391	0.05824	0.0	0.00094	0.0	0.12147
A4GALT	13.11733	8.70988	16.35948	14.52255	22.07293	6.84085	22.49369	18.5624	1.39997	8.55054	18.72184	19.93576	0.65861	0.0889	8.25913	8.19367
A4GNT	0.0	0.02134	0.02254	0.0	0.10889	0.02701	0.0836	0.0	0.0	0.01106	0.0	0.12015	0.06369	0.0	0.0	0.04726
AA06	0.0	0.40567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAA1	0.0107	0.01021	0.0	0.0	0.0	0.0	0.0	0.00302	0.01594	0.01582	0.00978	0.19977	0.0	0.0	0.05161	0.0
AAAS	8.95589	21.28888	15.70052	16.22397	8.12658	12.30183	9.81297	11.36235	5.46356	9.98308	7.91817	14.68734	7.05764	11.45557	13.26501	13.47143
AACS	4.66665	10.94564	4.95763	5.28542	3.49142	8.67459	6.45457	4.74158	8.75435	14.31885	4.56819	9.9864	1.83296	3.81912	1.44535	5.601
AACSP1	0.0	1.10256	0.0	0.0	0.0	0.0	0.0	0.0	0.03632	0.01802	0.0	0.3997	0.0	0.0	0.0	0.0
AADAC	0.06871	0.36124	0.57668	0.0	2.40155	0.0	7.32412	0.12719	0.00614	5.93198	0.10044	0.01262	198.72081	0.0	0.0	0.06192
AADACL2	0.0	0.29284	0.37259	0.55393	0.25232	0.01594	0.04029	0.02494	0.0	0.07833	0.64901	0.0	0.0	0.0	0.0	0.03867
AADACL3	0.0	0.01638	0.0	0.0	0.0	0.0	0.00249	0.0	0.0	0.20313	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.36835	0.19729	0.2093	0.0	0.0	0.0	0.0	0.0	0.04973	0.06401	0.74664	0.0	0.0	0.0	0.0
AADAT	0.98211	4.57186	4.61572	0.60495	0.77275	3.51158	0.79741	2.02697	4.62957	1.31219	1.28177	1.94053	4.81706	0.0	0.10249	2.91034
AAGAB	8.70689	19.72165	10.68289	11.47989	14.063	23.03211	13.00668	13.14476	16.58414	12.3932	10.12245	25.40291	8.74358	16.0946	16.22799	16.99107
AAK1	10.84975	3.46658	2.84601	4.26241	2.47421	5.4984	4.49139	3.4851	10.95384	3.50479	2.84972	6.32111	0.94661	7.70412	2.48132	4.05529
AAMP	23.20861	41.4648	45.19823	28.97587	33.40427	44.02355	40.14961	25.71029	22.36711	31.32597	35.37904	44.25835	22.3671	34.24063	33.22423	40.20947
AANAT	0.04745	0.45712	0.01526	0.0911	0.00457	0.03809	0.00269	0.37975	0.03375	0.01272	0.01927	0.0	0.01626	0.02318	0.02693	0.02146
AARS	26.53253	38.9895	35.32488	28.33867	31.46543	67.4401	55.63248	38.28467	100.94512	39.7412	41.40631	47.24316	26.12359	15.66286	130.69448	65.21164
AARS2	1.38519	2.23443	3.2318	2.53321	1.22184	2.04717	1.71894	3.15574	1.89425	1.7802	2.10524	3.74007	1.22527	2.11816	1.74077	3.90381
AARSD1	11.64544	18.40931	7.28717	3.85025	3.31762	10.23463	5.24777	7.52776	7.95914	6.46449	7.75655	4.72429	3.07566	2.21324	19.86981	8.38016
AASDH	1.97995	3.91958	4.25001	3.24789	1.42187	3.90695	1.54413	3.06326	3.2382	3.75388	1.9322	4.98247	1.42451	6.80831	1.37168	5.88771
AASDHPPT	20.48398	29.81889	15.7638	16.53725	9.78924	18.30911	12.50061	12.51185	56.2088	16.48575	13.42438	22.8026	13.76498	25.24179	14.46546	20.38874
AASS	10.43312	4.99966	7.18913	6.21532	4.98563	8.55708	8.29849	4.06474	6.24961	4.27585	4.78388	22.97227	21.74865	0.23414	1.6076	12.20813
AATF	12.46129	43.61474	22.18066	16.30655	15.06548	28.13315	40.19541	29.60351	18.02707	21.00845	41.2152	23.09809	8.106	33.62086	41.2447	33.55829
AATK	0.59557	0.60764	0.77038	1.15354	1.36843	0.92695	3.66612	0.48193	19.50569	0.26619	0.90979	0.17124	0.07859	2.94612	0.03813	0.32019
ABAT	3.32196	5.81926	3.60357	2.6169	1.23413	15.22958	0.84241	1.50217	50.33794	0.97714	2.67028	12.77911	101.45182	5.3752	0.28196	3.26219
ABCA1	2.86897	4.38987	11.41717	7.38057	8.29322	9.6378	26.38518	9.53546	2.70738	14.50099	11.34141	3.71214	27.04597	3.21359	7.73778	6.24248
ABCA10	1.03111	2.24179	2.0621	1.84234	0.70714	1.30539	2.08899	0.91717	0.55453	4.59346	1.47924	0.41213	0.25568	0.0	0.61706	2.92977
ABCA11P	2.21813	3.53407	3.24535	0.76201	1.78902	4.70521	1.30349	6.11006	3.29853	2.32914	1.18429	3.01541	0.71008	1.77374	0.65721	3.78192
ABCA12	0.00744	0.57339	0.02513	0.03455	0.00361	0.02638	0.02383	0.01089	0.06096	0.01686	0.14976	0.11862	0.0	0.0	0.0	0.00928
ABCA13	0.01368	0.28162	0.02974	0.01124	1.58159	0.71453	0.19048	0.0	0.0107	0.01538	0.01115	0.13553	0.07748	0.06915	0.0	0.26683
ABCA17P	0.03425	2.00991	0.13139	0.1455	0.00192	0.15913	0.04088	0.06244	0.16339	0.07715	0.09148	0.04829	0.0	0.0	0.11439	0.10749
ABCA2	4.31103	3.92894	3.70434	4.1608	2.16675	5.05157	3.00282	3.49456	52.57708	7.17563	4.27888	3.78084	2.06516	4.56668	4.66559	2.7878
ABCA3	1.80374	6.51988	2.4966	3.08256	14.23903	8.13628	6.43501	4.70197	13.67215	4.25188	2.94918	3.83197	0.26268	0.96086	3.00045	3.94224
ABCA4	0.04266	0.55998	0.13734	0.40276	0.03548	0.43015	0.12262	0.64719	0.36691	0.16372	0.11149	0.85056	0.12832	0.0	0.03591	0.23069
ABCA5	3.21232	5.22288	3.18408	2.28449	1.8368	4.06223	3.85523	1.92766	4.6889	9.49061	2.26487	5.88744	10.85202	0.67585	21.17822	3.8516
ABCA6	9.58475	2.36746	10.01195	5.73679	6.64612	2.41023	12.06187	1.11082	3.81014	6.09248	16.49664	2.13595	16.7385	0.09897	2.618	6.63784
ABCA7	0.81203	0.47391	0.6097	9.03819	2.54264	1.7631	1.73692	2.60099	0.65104	1.71258	0.34315	1.6693	0.30303	3.57306	1.16762	0.1383
ABCA8	21.1827	11.9652	16.70054	22.95547	10.12827	8.93784	19.35082	4.57518	8.49688	24.72317	36.71051	2.39832	2.56028	0.0	4.70876	33.80808
ABCA9	10.74792	6.1224	12.12419	9.92087	4.07244	3.58765	15.75707	2.10187	1.72641	10.33801	25.09436	0.7288	1.51395	0.06119	4.33072	7.75444
